2018-07-03 13:52:31 6724 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
2018-07-03 13:52:31 6725 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure 
2018-07-03 13:52:31 6730 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource] 
2018-07-03 13:52:31 6734 [restartedMain] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647 
2018-07-03 13:52:31 6734 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed 
2018-07-03 13:52:31 6749 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2018-07-03 13:52:31 6755 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references 
2018-07-03 13:52:31 6941 [restartedMain] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
2018-07-03 13:52:31 6977 [restartedMain] INFO  com.wyc.task.MyDynamicTask - Cron has been changed to:'0 0 8 1-31 * ?'. Old cron was:'null' 
2018-07-03 13:52:31 6983 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2018-07-03 13:52:31 6991 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2018-07-03 13:52:32 7002 [restartedMain] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read 
2018-07-03 13:52:32 7019 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
2018-07-03 13:52:32 7023 [restartedMain] INFO  com.wyc.DatamsecurityApplication - Started DatamsecurityApplication in 6.794 seconds (JVM running for 7.953) 
2018-07-03 13:53:03 38343 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet' 
2018-07-03 13:53:03 38343 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started 
2018-07-03 13:53:03 38370 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 27 ms 
2018-07-03 13:53:03 38385 [http-nio-8080-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - Enabling session validation scheduler... 
2018-07-03 13:53:03 38606 [http-nio-8080-exec-1] INFO  c.a.druid.pool.DruidDataSource - {dataSource-1,test} inited 
2018-07-03 14:15:51 785  [restartedMain] INFO  com.wyc.DatamsecurityApplication - Starting DatamsecurityApplication on DESKTOP-U1CJN0C with PID 224 (C:\Users\haima\IdeaProjects\datamsecurity\target\classes started by haima in C:\Users\haima\IdeaProjects\datamsecurity) 
2018-07-03 14:15:51 786  [restartedMain] INFO  com.wyc.DatamsecurityApplication - The following profiles are active: dev 
2018-07-03 14:15:51 830  [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1d232a1: startup date [Tue Jul 03 14:15:51 CST 2018]; root of context hierarchy 
2018-07-03 14:15:51 902  [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final 
2018-07-03 14:15:52 1933 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2018-07-03 14:15:53 2314 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.wyc.configuration.ShiroConfiguration$$EnhancerBySpringCGLIB$$8313a80a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-03 14:15:53 2352 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'hashedCredentialsMatcher' of type [org.apache.shiro.authc.credential.HashedCredentialsMatcher] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-03 14:15:53 2352 [restartedMain] INFO  c.w.c.ShiroConfiguration - myRealm注册完成 
2018-07-03 14:15:53 2473 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2018-07-03 14:15:53 2481 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$fc07f47e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
